,title,link
58,Our stories,https://www.google.com/covid19/?utm_source=about.google&utm_medium=referral&utm_campaign=about-hero-en
59,Former New England Patriots safety Duron Harmon found out about trade during tooth extraction: 'Call me back',https://www.foxnews.com/sports/mariano-rivera-slams-spring-breakers-coronavirus
60,Show More,https://video.foxnews.com/v/6143669925001/
61,Our stories,https://www.blog.google/products/maps/skip-line-restaurant-wait-times-search-and-maps/
62,Learn more,https://support.google.com/websearch?p=ws_settings_location&hl=en
63,Disability:IN,https://www.nglcc.org/
64,Our stories,https://www.google.com/covid19/?utm_source=about.google&utm_medium=referral&utm_campaign=about-hero-en
65,Mariano Rivera slams 'foolish' spring breakers amid coronavirus pandemic: 'There’s no time to be partying',https://www.foxnews.com/sports/mariano-rivera-slams-spring-breakers-coronavirus
66,Our stories,https://www.blog.google/products/maps/now-available-new-ways-explore-google-maps/
67,National LGBT Chamber of Commerce (NGLCC),https://www.nglcc.org/
68,Our stories,https://www.blog.google/products/photos/picture-this-fresh-approach-to-photos/
69,Supplier Diversity,https://supplierdiversity.foxnews.com/
70,Mariano Rivera slams 'foolish' spring breakers amid coronavirus pandemic: 'There’s no time to be partying',https://www.foxnews.com/sports/tampa-bay-buccaneers-chris-godwin-tom-brady-12-jersey
71,Help,https://support.google.com/websearch/?p=ws_results_help&hl=en&fg=1
72,Terms,https://policies.google.com/terms?fg=1
73,Our stories,https://support.google.com/android/answer/3265955
74,Our stories,https://www.blog.google/outreach-initiatives/digital-wellbeing/find-more-balance-your-life-year-help-google/
75,Tampa Bay Buccaneers' Chris Godwin willing to give Tom Brady number 12 'out of respect' for legendary career,https://www.foxnews.com/sports/tampa-bay-buccaneers-chris-godwin-tom-brady-12-jersey
76,Privacy,https://policies.google.com/privacy?fg=1
77,Our stories,https://support.google.com/assistant/answer/7382429?co=GENIE.Platform%3DAndroid&hl=en
78,National Minority Supplier Development Council (NMSDC) regional councils,https://navoba.org/
79,Our stories,https://www.blog.google/products/search/20-things-you-didnt-know-you-could-do-search/
80,"As coronavirus continues to spread across the globe, here is everything you need to know about the deadly virus.",https://video.foxnews.com/v/6143698002001/
81,Our stories,https://careers.google.com/
82,2:15,https://video.foxnews.com/v/6143698002001/
83,Senate works to finish negotiations on massive coronavirus stimulus package,https://video.foxnews.com/v/6143698002001/
84,Our stories,https://www.blog.google/products/assistant/introducing-free-calls-with-your-assistant-on-google-home/
85,Supplier Diversity,https://supplierdiversity.foxnews.com/
86,National Veteran-Owned Business Association,https://navoba.org/
87,Supplier Diversity,https://supplierdiversity.foxnews.com/
88,Tampa Bay Buccaneers' Chris Godwin willing to give Tom Brady number 12 'out of respect' for legendary career,https://www.foxnews.com/sports/us-womens-football-team-airlifted-by-military-from-honduras-amid-coronavirus
89,Our stories,https://abc.xyz/investor/founders-letters/2004/ipo-letter.html#_ga=2.165626872.610004439.1532311821-929489725.1521479135
90,New England Patriots,https://www.foxnews.com/category/sports/nfl/new-england-patriots
91,US women's football team airlifted by military from Honduras amid coronavirus,https://www.foxnews.com/sports/us-womens-football-team-airlifted-by-military-from-honduras-amid-coronavirus
92,New England Patriots,https://www.foxnews.com/category/sports/nfl/new-england-patriots
93,7:15,https://video.foxnews.com/v/6143669925001/
94,Settings,https://www.google.com.np/preferences?hl=en
95,California congressman John Garamendi joins ‘America’s News HQ.’,https://video.foxnews.com/v/6143698002001/
96,Supplier Diversity,https://supplierdiversity.foxnews.com/
97,Terms,https://policies.google.com/terms?fg=1
98,California congressman John Garamendi joins ‘America’s News HQ.’,https://video.foxnews.com/v/6143695263001/
99,Teams,https://247sports.com/League/NCAA-FB/Teams/
100,6:57,https://video.foxnews.com/v/6143695263001/
101,Search settings,https://www.google.com.np/preferences?hl=en&fg=1
102,Supplier Diversity,https://supplierdiversity.foxnews.com/
103,National Veteran-Owned Business Association,https://www.wbenc.org/
104,Doctors answer your COVID-19 questions: Is sanitizing and reusing masks safe?,https://video.foxnews.com/v/6143695263001/
105,Detroit Lions,https://www.foxnews.com/category/sports/nfl/detroit-lions
106,New York Yankees,https://www.foxnews.com/category/sports/mlb/new-york-yankees
107,Our stories,https://support.google.com/googlehome/answer/7029190?hl=en#
108,Apply Now,https://disabilityin.org/
109,Our stories,https://abc.xyz/investor/founders-letters/2004/ipo-letter.html#_ga=2.165626872.610004439.1532311821-929489725.1521479135
